               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.019606,            0.013103,                   0,             0.96175,             0.95644,             0.97779,             0.69288,            0.021437,            0.015011,                   0,            9.95e-05,            9.95e-05,              0.0802
                   1,            0.019257,            0.013332,                   0,             0.96685,             0.95102,             0.97379,             0.69962,             0.02096,            0.014936,                   0,           0.0001995,           0.0001995,              0.0603
                   2,            0.018314,            0.012704,                   0,             0.96685,             0.95105,             0.97298,             0.70121,            0.020533,             0.01478,                   0,           0.0002995,           0.0002995,              0.0404
                   3,            0.017702,            0.012413,                   0,             0.95652,             0.95648,             0.97394,             0.70439,            0.020345,            0.014632,                   0,           0.0003995,           0.0003995,              0.0205
                   4,            0.017183,            0.012174,                   0,             0.95643,             0.95652,             0.97921,             0.70686,            0.020031,            0.014517,                   0,           0.0004995,           0.0004995,           0.0005995
                   5,            0.017137,            0.012045,                   0,             0.96154,             0.95103,             0.97721,             0.70762,            0.019801,            0.014514,                   0,              0.0005,              0.0005,              0.0005
                   6,            0.016837,            0.011854,                   0,             0.96666,             0.94557,             0.97677,             0.71555,            0.019579,             0.01436,                   0,              0.0005,              0.0005,              0.0005
                   7,            0.016748,            0.011961,                   0,             0.96685,             0.95093,             0.97799,             0.71891,            0.019524,            0.014091,                   0,              0.0005,              0.0005,              0.0005
                   8,            0.016093,            0.012459,                   0,             0.96677,             0.95109,             0.97814,             0.72074,            0.019326,            0.014198,                   0,              0.0005,              0.0005,              0.0005
                   9,            0.015615,            0.011496,                   0,             0.95108,             0.95094,             0.97206,              0.7192,            0.019159,            0.014103,                   0,              0.0005,              0.0005,              0.0005
